Best model: model_fold_3_epoch_28
true_label, pred_label, file_name
1,1,Kevin/Kevin_8.wav
1,1,Joanna/Joanna_35.wav
0,0,Kendra/Kendra_15.wav
0,0,B/B_18.wav
0,0,Joey/Joey_10.wav
0,1,J/J_23.wav
0,0,E/E_30.wav
0,0,B/B_36.wav
1,1,J/J_16.wav
0,1,H/H_18.wav
1,1,Joey/Joey_14.wav
1,1,Joanna/Joanna_2.wav
0,1,H/H_34.wav
0,1,Kevin/Kevin_24.wav
0,0,E/E_17.wav
1,1,Joanna/Joanna_23.wav
0,0,Kendra/Kendra_16.wav
1,1,Joanna/Joanna_4.wav
1,1,B/B_33.wav
1,1,J/J_9.wav
1,1,H/H_19.wav
0,1,H/H_36.wav
0,0,E/E_4.wav
0,1,H/H_7.wav
1,1,B/B_13.wav
1,0,E/E_12.wav
1,1,Joanna/Joanna_11.wav
0,0,Kendra/Kendra_11.wav
0,0,Kendra/Kendra_28.wav
1,1,Joanna/Joanna_5.wav
0,1,H/H_25.wav
0,0,Kendra/Kendra_30.wav
0,0,E/E_1.wav
1,0,Kendra/Kendra_27.wav
1,1,Kevin/Kevin_13.wav
0,0,Kendra/Kendra_2.wav
1,1,J/J_29.wav
1,1,Kevin/Kevin_21.wav
0,0,J/J_6.wav
0,0,B/B_17.wav
0,0,Joey/Joey_22.wav
1,0,Joey/Joey_18.wav
1,1,J/J_17.wav
0,0,J/J_19.wav
0,0,B/B_35.wav
1,1,Joanna/Joanna_1.wav
0,0,E/E_28.wav
1,1,Kevin/Kevin_30.wav
1,1,B/B_31.wav
1,1,Kevin/Kevin_16.wav
1,1,J/J_7.wav
0,1,Joey/Joey_35.wav
1,1,Kevin/Kevin_28.wav
0,0,J/J_5.wav
0,1,H/H_2.wav
0,0,E/E_3.wav
0,1,B/B_20.wav
