Best model: model_fold_2_epoch_4
true_label, pred_label, file_name
0,1,Joey/Joey_24.wav
1,0,B/B_7.wav
1,0,Kendra/Kendra_8.wav
1,1,Kevin/Kevin_11.wav
1,1,Kevin/Kevin_3.wav
0,1,Joanna/Joanna_8.wav
0,1,J/J_19.wav
0,0,B/B_34.wav
1,1,J/J_28.wav
0,1,Kevin/Kevin_24.wav
0,0,E/E_34.wav
0,0,Kendra/Kendra_10.wav
0,1,Joey/Joey_34.wav
0,0,E/E_8.wav
0,1,B/B_29.wav
0,0,E/E_15.wav
1,1,J/J_35.wav
1,1,Joanna/Joanna_13.wav
1,0,Kendra/Kendra_9.wav
0,1,J/J_22.wav
0,1,Kevin/Kevin_22.wav
0,0,E/E_22.wav
0,0,E/E_32.wav
1,1,J/J_9.wav
0,0,E/E_3.wav
1,1,Joanna/Joanna_36.wav
0,0,Joey/Joey_2.wav
1,1,J/J_16.wav
1,1,B/B_12.wav
1,1,Joanna/Joanna_30.wav
1,1,J/J_11.wav
0,0,Joey/Joey_11.wav
0,1,J/J_21.wav
0,0,Joey/Joey_12.wav
0,0,Joey/Joey_1.wav
0,1,B/B_1.wav
0,1,B/B_5.wav
0,0,B/B_19.wav
0,1,B/B_21.wav
1,1,Joey/Joey_30.wav
0,1,H/H_34.wav
0,0,Kendra/Kendra_36.wav
0,0,B/B_6.wav
0,1,H/H_17.wav
1,0,Joey/Joey_16.wav
0,1,B/B_23.wav
1,1,Kevin/Kevin_10.wav
1,1,J/J_3.wav
0,1,B/B_20.wav
1,1,B/B_14.wav
0,0,Kendra/Kendra_1.wav
0,0,Kendra/Kendra_34.wav
0,0,E/E_13.wav
1,1,Kevin/Kevin_32.wav
1,1,J/J_25.wav
1,1,H/H_6.wav
1,1,Joanna/Joanna_29.wav
