Best model: model_fold_2_epoch_21
true_label, pred_label, file_name
0,0,Joey/Joey_9.wav
0,0,B/B_6.wav
1,0,Joanna/Joanna_24.wav
1,0,Kendra/Kendra_27.wav
1,1,Kevin/Kevin_33.wav
0,0,Kendra/Kendra_3.wav
0,0,Kevin/Kevin_6.wav
1,0,J/J_25.wav
1,0,Joanna/Joanna_28.wav
0,0,H/H_34.wav
0,0,H/H_25.wav
1,0,E/E_11.wav
0,0,B/B_29.wav
1,0,Joanna/Joanna_31.wav
1,0,Kevin/Kevin_17.wav
0,0,Joanna/Joanna_7.wav
0,0,E/E_16.wav
1,0,Joanna/Joanna_3.wav
0,0,Joey/Joey_36.wav
0,0,H/H_13.wav
1,0,B/B_31.wav
0,0,B/B_28.wav
0,0,Kendra/Kendra_4.wav
0,0,B/B_4.wav
0,0,Joey/Joey_2.wav
1,0,Joey/Joey_15.wav
1,0,J/J_1.wav
0,0,E/E_26.wav
1,0,H/H_28.wav
0,0,H/H_2.wav
1,0,B/B_11.wav
0,0,B/B_19.wav
1,0,H/H_22.wav
0,0,E/E_34.wav
1,1,Joanna/Joanna_21.wav
0,0,B/B_22.wav
0,0,E/E_14.wav
0,0,H/H_3.wav
0,0,B/B_35.wav
1,0,Joanna/Joanna_23.wav
1,0,Joanna/Joanna_26.wav
0,0,Kendra/Kendra_15.wav
1,0,Joanna/Joanna_30.wav
1,0,Kendra/Kendra_9.wav
0,0,Kendra/Kendra_17.wav
0,0,B/B_3.wav
1,0,J/J_33.wav
1,0,Kevin/Kevin_7.wav
1,0,Kevin/Kevin_10.wav
1,1,Kevin/Kevin_13.wav
1,0,B/B_13.wav
0,0,Joey/Joey_4.wav
1,0,J/J_31.wav
0,0,B/B_34.wav
1,0,Joey/Joey_30.wav
0,0,Kendra/Kendra_20.wav
0,0,Kendra/Kendra_12.wav
