Best model: model_fold_0_epoch_5
true_label, pred_label, file_name
1,1,J/J_32.wav
0,1,J/J_21.wav
1,1,Kevin/Kevin_11.wav
0,0,Kendra/Kendra_18.wav
1,0,Joey/Joey_21.wav
1,1,H/H_12.wav
0,0,Kendra/Kendra_16.wav
1,1,B/B_10.wav
0,0,E/E_17.wav
1,1,Kevin/Kevin_3.wav
0,1,Kevin/Kevin_22.wav
1,1,Kevin/Kevin_18.wav
0,0,E/E_23.wav
0,0,Kendra/Kendra_29.wav
0,1,H/H_36.wav
0,1,Kevin/Kevin_5.wav
1,1,Joanna/Joanna_25.wav
0,1,J/J_13.wav
1,1,J/J_7.wav
0,0,E/E_13.wav
1,1,H/H_11.wav
0,1,H/H_26.wav
1,1,Joanna/Joanna_1.wav
0,0,B/B_5.wav
1,1,Kevin/Kevin_27.wav
1,1,Joanna/Joanna_14.wav
0,0,Kendra/Kendra_28.wav
1,1,Joanna/Joanna_6.wav
0,0,Kendra/Kendra_5.wav
1,1,J/J_3.wav
0,1,B/B_21.wav
1,1,Joanna/Joanna_13.wav
1,1,Joanna/Joanna_4.wav
1,1,J/J_10.wav
0,0,B/B_23.wav
1,1,H/H_20.wav
1,1,J/J_2.wav
1,0,H/H_24.wav
1,0,Kendra/Kendra_26.wav
1,1,Kevin/Kevin_36.wav
0,1,H/H_9.wav
0,1,B/B_2.wav
0,1,H/H_1.wav
0,0,E/E_24.wav
0,0,Kendra/Kendra_30.wav
1,1,Joanna/Joanna_12.wav
0,0,Joey/Joey_24.wav
1,1,Kevin/Kevin_8.wav
1,1,J/J_29.wav
0,0,Joey/Joey_1.wav
1,0,Joey/Joey_18.wav
1,1,J/J_16.wav
1,1,Kevin/Kevin_25.wav
1,1,Joanna/Joanna_11.wav
1,1,B/B_15.wav
1,1,Kevin/Kevin_15.wav
1,1,H/H_5.wav
